"Borderlands: O Destino do Universo Está em Jogo",2,2024-08-07
"Deadpool & Wolverine",3,2024-07-24
"The Killer",3,2024-08-22
"Os Fantasmas Ainda se Divertem: Beetlejuice Beetlejuice",3,2024-09-04
"Divertida Mente 2",3,2024-06-11
"Crepúsculo dos Guerreiros: Walled In",3,2024-04-23
"Meu Malvado Favorito 4",3,2024-06-20
"Bad Boys: Até o Fim",3,2024-06-05
"Os Fantasmas se Divertem",3,1988-03-30
"Twisters",3,2024-07-10
"Armadilha",3,2024-07-31
"Gunner",2,2024-08-16
"A Liga",3,2024-08-15
"KILL: O Massacre no Trem",3,2024-07-03
"O Mestre da Fumaça",3,2023-05-18
"A Libertação",3,2024-08-16
"Alien: Romulus",3,2024-08-13
"É Assim Que Acaba",3,2024-08-07
"Jackpot: Loteria Mortal!",3,2024-08-13
"Colateral",3,2024-05-07
"Longlegs - Vínculo Mortal",3,2024-07-10
"Um Lugar Silencioso: Dia Um",3,2024-06-26
"A Missão de Sandy Bochechas",3,2024-08-01
"Cinderella's Curse",2,2024-05-31
"Garfield - Fora de Casa",3,2024-04-30
"Harold e o Lápis Mágico",3,2024-07-31
"Presa",3,2024-03-15
"Príncipes Perigosos",3,2024-08-27
"Farang",3,2023-06-28
"The Convert",3,2024-03-14
"Planeta dos Macacos: O Reinado",3,2024-05-08
"Crescent City",2,2024-08-16
"Manobra Arriscada",3,2024-08-07
"Furiosa: Uma Saga Mad Max",3,2024-05-22
"A Menina e o Dragão",3,2024-04-11
"Os Provocadores",3,2024-08-02
"Rebel Ridge",3,2024-08-27
"Hunting Games",2,2023-05-12
"Guerra Civil",3,2024-04-10
"Casa de Ga'a",2,2024-07-26
"Godzilla e Kong: O Novo Império",3,2024-03-27
"Freddy's Fridays",1,2023-10-13
"Guerreiros Mágicos: A Lenda das Oito Luas",2,2023-10-11
"Descendentes: A Ascensão de Copas",3,2024-07-11
"O Podcast",2,2023-10-26
"Efeito Paradoxo",3,2024-06-27
"친구 엄마들",2,2018-07-05
"Triplo X",2,2002-08-09
"Kung Fu Panda 4",3,2024-03-02
"Oddity",3,2024-07-19
"Liga da Justiça: Crise nas Infinitas Terras - Parte Três",3,2024-07-15
"Vingadores: Guerra Infinita",4,2018-04-25
"Pandemonium",2,2023-02-16
"The Mouse Trap",2,2024-08-23
"Isca",3,2024-03-22
"Pleasure",3,2021-10-08
"Thelma",3,2024-06-21
"Missão Cruzada",3,2024-08-05
"Guerra Sem Regras",3,2024-04-18
"Minha Culpa",3,2023-06-08
"Un père idéal",3,2024-04-21
"O Exorcismo",2,2024-05-30
"De Volta ao Crime",3,2023-01-20
"Um Assalto às Avessas",2,2024-02-08
"3 Days in Malay",2,2023-08-11
"Hell Hole",2,2024-07-29
"Belo Desastre: O Casamento",2,2024-01-24
"Alien: O Oitavo Passageiro",4,1979-05-25
"Nem Tudo é Negociável",3,2024-07-25
"Sonic 3: O Filme",1,2024-12-19
"Aprendiz de Espiã: Na Cidade Eterna",3,2024-07-18
"Patos!",3,2023-12-06
"Coraline e o Mundo Secreto",3,2009-02-05
"Malditas",3,2023-10-20
"Sob as Águas do Sena",3,2024-06-04
"地底怪物",2,2023-04-27
"BLUE LOCK O FILME -EPISÓDIO NAGI-",3,2024-04-19
"Divertida Mente",3,2015-06-17
"Alice no País das Trevas",3,2023-12-26
"Duna: Parte Dois",4,2024-02-27
"Duna: Parte Dois",4,2024-02-27
"Sonic 2: O Filme",3,2022-03-30
"A Menina do Mar",3,2024-04-26
"Como Vender a Lua",3,2024-07-10
"Alienoid",3,2022-07-20
"O Dublê",3,2024-04-24
"As Marvels",3,2023-11-08
"超级英雄美猴王：齐天儿",2,2023-04-21
"친구 엄마들",2,2018-07-05
"Miraculous World: Paris, As Aventuras De Shadybug e Claw Noir",3,2023-10-21
"Transformers: O Despertar das Feras",3,2023-06-06
"Sonic 3: O Filme",1,2024-12-19
"Outra Chance para o Amor",2,2024-04-02
"Super Mario Bros. O Filme",3,2023-04-05
"Entrevista com o Demônio",3,2024-03-19
"Homem-Aranha: Através do Aranhaverso",4,2023-05-31
"Os Novatos",3,2024-08-22
"Velozes & Furiosos 10",3,2023-05-17
"Homem-Aranha: Sem Volta Para Casa",3,2021-12-15
"A Fera Interior",2,2024-07-22
"Os Observadores",3,2024-06-06
"Como Vender a Lua",3,2024-07-10
"Sonic 2: O Filme",3,2022-03-30
"Deadpool",3,2016-02-09
"Harry Potter e a Pedra Filosofal",3,2001-11-16
"Johnny & Clyde - Parceiros no Crime",2,2023-03-23
"O Senhor dos Anéis: A Sociedade do Anel",4,2001-12-18
"The Round Up: No Way Out",3,2023-05-31
"Entrevista com o Demônio",3,2024-03-19
"O Senhor dos Anéis: O Retorno do Rei",4,2003-12-17
"레깅스 마니아",2,2023-07-13
"Super Mario Bros. O Filme",3,2023-04-05
"超级英雄美猴王：齐天儿",2,2023-04-21
"Barbie",3,2023-07-19
"Desespero Profundo",3,2024-01-18
"Oppenheimer",4,2023-07-19
"A Nova Onda do Imperador",3,2000-12-15
"We Are Zombies",2,2024-07-17
"O Tarô da Morte",3,2024-05-01
"MaXXXine",3,2024-07-04
"You Shall Not Sleep Tonight",4,2024-08-01
"A Noiva Cadáver",3,2005-09-12
"Aliens: O Resgate",3,1986-07-18
"Deadpool 2",3,2018-05-10
"Não Fale o Mal",3,2024-09-10
"Um Sonho de Liberdade",4,1994-09-23
"John Wick 4: Baba Yaga",3,2023-03-22
"Imaculada",3,2024-03-20
"Fúria Primitiva",3,2024-04-03
"The Deep Dark",2,2023-11-15
"레깅스 마니아",2,2023-07-13
"Tipos de Gentileza",3,2024-05-30
"鴨王",2,2015-01-29
"Os Vingadores: The Avengers",3,2012-04-25
"Gato de Botas 2: O Último Pedido",4,2022-12-07
"Place of Bones",2,2024-08-23
"Uma Natureza Violenta",2,2024-05-31
"Um Estranho no Bosque",3,2024-02-14
"Unang Tikim",1,2024-07-07
"Pra Lá de Bagdá 2",3,2024-07-03
"Deadpool 2",3,2018-05-10
"Dìdi (弟弟)",3,2024-07-26
"Operação Big Hero",3,2014-10-24
"Vingadores: Ultimato",4,2019-04-24
"A Torre do Inferno",2,2023-02-08
"Deliver Us",2,2023-08-30
"You Shall Not Sleep Tonight",4,2024-08-01
"Imaculada",3,2024-03-20
"Batman: O Cavaleiro das Trevas",4,2008-07-16
"Kalikot",3,2024-03-12
"The Deep Dark",2,2023-11-15
"A Primeira Profecia",3,2024-04-03
"Unang Tikim",1,2024-07-07
"Heavenly Touch",3,2009-05-12
"Le Dernier Jaguar",2,2024-02-01
"30 Dias de Noite",3,2007-10-17
"Black Noise",2,2023-11-03
"O Hobbit: A Batalha dos Cinco Exércitos",3,2014-12-10
"Place of Bones",2,2024-08-23
"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",3,2005-12-07
"Rebel Moon - Parte 2: A Marcadora de Cicatrizes",3,2024-04-19
